0,1,2,3,4,5
Experiment,Mean Jaccard,Mean Precision,Mean Recall,Mean F1,Number Samples
basic_prompt_single_label,0.9435897435897436,0.9435897435897436,0.9435897435897436,0.9435897435897436,390
calibrated_prompt_up_to_1,0.9380341880341881,0.9380341880341881,0.941025641025641,0.9388888888888888,390
basic_prompt_multilabel_unranked_up_to_2,0.9192307692307692,0.9192307692307692,0.958974358974359,0.9324786324786324,390
basic_prompt_multilabel_no_constrictions_unranked,0.9019332519332518,0.9019332519332518,0.9538461538461539,0.9163675213675213,390
example_prompt_multilabel_unranked_up_to_2,0.8794871794871795,0.8794871794871795,0.9205128205128205,0.8931623931623931,390
explanation_prompt_multilabel_unranked_up_to_2,0.7801282051282051,0.7801282051282051,0.9641025641025641,0.8411965811965811,390
calibrated_prompt_up_to_2,0.7654090354090354,0.7654090354090354,0.9384615384615385,0.8205189255189255,390
basic_prompt_generation_up_to_2,0.7465811965811966,0.7465811965811966,0.8641025641025641,0.7845299145299146,390
basic_prompt_generation_no_constrictions,0.7243589743589743,0.7243589743589743,0.8256410256410256,0.7567521367521367,390
example_prompt_generation_up_to_2,0.6453846153846153,0.6453846153846153,0.676923076923077,0.6551282051282051,390
explanation_prompt_generation_up_to_2,0.6346153846153846,0.6346153846153846,0.782051282051282,0.6819658119658121,390
