0,1,2,3,4,5
Experiment,Mean Jaccard,Mean Precision,Mean Recall,Mean F1,Number Samples
explanation_prompt_multilabel_unranked_up_to_2,0.9195833333333334,0.9195833333333334,0.9375,0.9254166666666666,400
auto_prompt_output,0.8948717948717949,0.8948717948717949,0.8948717948717949,0.8948717948717949,390
basic_prompt_single_label,0.8948717948717949,0.8948717948717949,0.8948717948717949,0.8948717948717949,390
example_prompt_multilabel_unranked_up_to_2,0.88125,0.88125,0.89,0.8841666666666665,400
basic_prompt_multilabel_unranked_up_to_2,0.8795833333333334,0.8795833333333334,0.9025,0.8870833333333333,400
basic_prompt_multilabel_no_constrictions_unranked,0.8783333333333334,0.8783333333333334,0.8975,0.8845833333333333,400
example_prompt_generation_up_to_2,0.8196666666666667,0.8209166666666667,0.87625,0.8380833333333334,400
basic_prompt_generation_up_to_2,0.8025833333333332,0.8025833333333332,0.8625,0.8214166666666667,400
basic_prompt_generation_no_constrictions,0.801875,0.803125,0.85375,0.8186666666666668,400
explanation_prompt_generation_up_to_2,0.7884166666666667,0.7896666666666667,0.86125,0.8122499999999999,400
